text,sentiment,textEnglish,sentimentEnglish
Tô passada com esse cara.... quanta merda pode sair da boca de alguém em alguns minutos! 😠 #Encontro,-1,How much shit can come out of someone’s mouth in a few minutes!,-1
"Esse japa não entendi porra nenhuma de orquídeas. Essa não é catleya Walkiriana, é uma Nobilior #encontro",-1,"This japa I didn't understand any of orchids. This is not catleya Walkiriana, it's a Nobilior #encounter",-1
Aí vc fica até 01h00 assistindo #MasterChefBR e acorda cedo pra ir trabalhar parecendo um zumbi,-1,Here you stay until 1h00 watching #MasterChefBR and wake up early to go to work like a zumbi,0
Imagina que insuportável ter de dar de comer pra uma gente que calcula CADA CALORIA que come? Jesus... #MasterChefBR,-1,Imagine how unbearable it is to have to give food to a people who calculates Every CALORY they eat?,-1
o prato do Vitor B ficou ruim MEU DEUS TO PASSANDO MAL NAAAAOOO #MasterChefBR,-1,The Vitor B's dish was bad my God to pass bad NAAAOOO #MasterChefBR,-1
#MasterChefBR FIQUEI MUITO NERVOSA ACHEI Q MINHA YUKO IA SAIR,-1,#MasterChefBR I've been very nervous I've got my YUKO I'll go out,-1
"João Vicente no Encontro hoje, e eu vou estar aonde? No colégio, fazendo prova de matemática, isso mesmo. #Encontro",-1,"John Vicente in Meeting today, and I’m going to be where? in college, doing math test, that’s the same.",0
"Tantos embustes pra sair do #MasterChefBR, e tiram justamente o #MasterCrush. Pfvr, alguém repesca o @MChefVitorB.",-1,"So many mistakes to get out of #MasterChefBR, and take just the #MasterCrush.Pfvr, someone repeats @MChefVitorB.",0
"#MaisVoce está aqui ensinando a passar roupas e os comentários da apresentadora são ´para fazer no terno do marido´, ´na camisa do namorado´",-1,#MaisVoce is here teaching how to wear clothes and the commentary of the presentator is 'to do in the mouth' on the boyfriend's shirt.,0
"Gente o cabelo e a maquiagem da Ana Maria Braga estão indo para  alguma festa que o resto do corpo não forão convidados 😂😂😂
#MaisVoce",-1,People hair and makeup of Ana Maria Braga are going to some party that the rest of the body will not be invited 😂😂😂 #MaisVoce,0
