review_text,review_translater_face,polaridadeMultiClassifierTweetsOriginal,polaridadeMultiClassifierTweetsTraduzido,polaridade
Bem macio e felpudo...recomendo.  Preço imbatível e entrega rápida. Compraria outro quando precisar,Good soft and smooth I recommend. unbeatable price and fast delivery. I would buy another when you need,1.0,1.0,1.0
Produto excepcional!  recomendo!!! inovador e gostoso de ler!!,Excellent product! recommend!!! innovative and pleasant to read!!,1.0,1.0,1.0
Bom custo beneficio. Adequado para pessoas que fazem um uso casual do aparelho . A máquina fotográfica é excelente . A tela fornece imagens ótimas . Os recursos do aparelho são fáceis de manejar.,Good cost benefit. Suitable for people who do a casual use of the device. The camera is excellent. The screen provides excellent images. The device features are easy to manage.,1.0,1.0,1.0
"ótmo produto atendeu as expectativas, a entrega ocorreu antes do previsto. muito bom","The product fulfilled expectations, the delivery occurred before the expected. very good",1.0,1.0,1.0
"GOSTEI MUITO DO PRODUTO! TEM ÓTIMA QUALIDADE, E FACILITA MUITO A APLICAÇÃO DO GEL.","It has excellent quality, and makes it very easy to use the gel.",1.0,1.0,1.0
"Adorei, entrega no prazo e produto conforme eu esperava, recomendadíssimo.","I loved, delivery in time and product as I expected, highly recommended.",1.0,1.0,1.0
Já é o segundo processador deste modelo que compro (o primeiro foi para minha mãe) e só tenho elogios. É muito forte e facilita bastante os processos.,It’s already the second processor of this model I buy (the first was for my mother) and I only have praises.,1.0,1.0,1.0
"Nao recebi!!!  endereço para entrega : rua augusto hog, 186 casa 02 jardim presidente dutra guarulhos sp cep 07172200 favor enviar!!!","Not received!!! address for delivery : street August hog, 186 house 02 garden president dutra guarulhos sp cep 07172200 please send!!!",0.0,0.0,1.0
"Adorei o smartphone, excelente acabamento, veloz e muito intuitivo","I loved the smartphone, excellent finish, fast and very intuitive",1.0,1.0,1.0
O produto chegou antes do prazo estimado. Ótimo produto. Recomendo a todos esse vendedor.,The product arrived before the estimated deadline. great product. I recommend this seller to all.,1.0,1.0,1.0
produto excelente  Atingiu as expectativas  Recomendo o produto,Excellent product Reached expectations I recommend the product,1.0,1.0,1.0
"Lindo o relógio, entrega super rápida. Estou satisfeita com a compra.","Lending the clock, super fast delivery. I am satisfied with the purchase.",1.0,1.0,1.0
Atendeu as minhas expectativas e funcionou perfeitamente como repetidor de sinal.,It fulfilled my expectations and worked perfectly as a signal repeater.,1.0,1.0,1.0
Recomendo a compra de cartuchos HP e outros produtos pelo site americanas.com!,I recommend buying HP cartridges and other products from the site americanas.com!,0.0,0.0,1.0
muito show!...........................................................................................................................................................................................................................................................................................,"This is the first time I’ve been able to do this, and I’ve been able to do this.",1.0,1.0,1.0
Um Produto muito bom e simples recomendo esta telivisao a todos,A very good and simple product I recommend this TV to everyone.,1.0,1.0,1.0
"Estou gostando muito da torradeira Gourmet Oster, bonita e eficiente!","I really like Gourmet Oster, beautiful and efficient!",1.0,1.0,1.0
Estou satisfeito com o serviço prestado pela americanas.com,I am satisfied with the service provided by americanas.com,1.0,1.0,1.0
Aparelho muito bom! Ótima imagem e fotos maravilhosas.,Excellent picture and wonderful photos.,1.0,1.0,1.0
"Muito bom, valeu a pena a compra. Muito bonito. Gostei","Very good, it was worth buying. very nice. I liked",1.0,1.0,1.0
"Capa flexível e macia ,deixa o celular  firme na mão !","Flexible and smooth cover, keep your cell phone in hand.",0.0,1.0,1.0
Adorei o celular . Produto excelente.  Atende as minhas necessidades.,I loved the mobile. excellent product. it meets my needs.,1.0,1.0,1.0
"Produto emborrachado, ótimo para criança pequena. Chegou super rápido e minha neta de 1,5 anos adorou.",It arrived super quickly and my 1.5 year old grandmother loved it.,1.0,1.0,1.0
"Para mim, ele é útil. Tem tudo que eu preciso. Fácil de encontrar as configurações, aplicativos baixam rápidos. Câmera ótima com muitos filtros, selfie fácil de manuseiar.","For me, it is useful. It has everything I need. Easy to find the settings, apps download quickly. Great camera with a lot of filters, selfie easy to handle.",1.0,1.0,1.0
Adquirir essa pipoqueira elétrica e estou muito satisfeito com resultado,I bought this electric piper and I am very pleased with the result.,1.0,1.0,1.0
"Ótimo produto peças de qualidade, bonitas e bem acabadas. Recomendo","Excellent product quality, beautiful and well finished parts.",1.0,1.0,1.0
Ótimo!!! adoro este produto já comprei outras vezes gostei e agora comprei dnovo super recomendo,I love this product I’ve bought it again I liked it and now I’ve bought it again super recommend,1.0,1.0,1.0
"Gostei muito deste produto, principalmente por seu designe.","I really liked this product, especially because of its design.",1.0,1.0,1.0
"Eu comprei este produto, entretanto me foi entregue um produto diferente, foi entregue um produto que aceita somente um chip (modelo k33b37)  além disso veio faltando o fone. Estou em comunicação com a parceira Eletrobest e eles já me enviaram o código postal para eu enviar e fazer a troca.   O produto que veio, apesar de errado , é um produto bom, design bonito, leve, com muitas funcionalidades, entretanto como já mencionado, a empresa parceira cometeu dois erros que eu considero erros muito primários e graves ( mandar o produto errado e faltando o fone)","I bought this product, but it was delivered to me a different product, it was delivered a product that accepts only a chip (model k33b37) in addition came missing the fone. I am in communication with the partner Eletrobest and they have already sent me the postal code to send me and make the exchange. The product that came, though wrong, is a good product, beautiful design, light, with many features, however as already mentioned, the partner company committed two errors that I consider very primary and serious errors ( send the wrong product and missing the fone)",-1.0,-1.0,1.0
"Comprei a minha smart tv da samsung 49 e amei o produto . Eu recomendo sim , tanto o produto como a loja.   Não me arrependo de ter adquirido... Corra para Americanas mais próxima e garanta a sua.  Tv samsung 49 uma ótima parceira para assistir a copa . Penae nisso !","I bought my smart TV from samsung 49 and I loved the product. I recommend yes, both the product and the store. I don't regret having bought... Run to the nearest Americans and guarantee yours. samsung TV 49 a great partner to watch the cup.",1.0,1.0,1.0
Chegou super rápido bem antes do prazo de entrega .São lindas super resistente a tampa é bem flequixivel,It arrived super fast well before delivery time.They are beautiful super resistant the cover is well flexible,1.0,1.0,1.0
"Produto de boa qualidade e a loja MUNDO MAC STORE me surpreendeu com o bom atendimento e prazo de entrega, RECOMENDO!","Good quality product and the WORLD MAC STORE store surprised me with good service and delivery time, I recommend!",1.0,1.0,1.0
"Gostei muito do produto e de como as americanas foi rápida na entrega, estou curtindo meu novo aparelho, fácil de navegar, muito mais rápido devido ao processador. Muito satisfeita!","I really liked the product and how American was fast in delivery, I’m shortening my new device, easy to navigate, much faster due to the processor.",1.0,1.0,1.0
"produto de excelente qualidade, jogo intenso com história muito boa, a entrega no prazo.","Excellent quality product, intense game with very good history, delivery in time.",1.0,1.0,1.0
Apenas faltou mais um bolso na frente e os suportes de tela nas laterais serem um pouco maiores!  Produto excelente.,Just missed another pocket in front and the screen supports on the sides are a little bigger!,1.0,-1.0,1.0
